Gasto_Instantaneo,Presion_Instantanea,t_stamp,nombre_sitio,fecha_hora
43,44,2025-06-06 05:21:47,reb62a,2025-06-06 05:21:47
43,44,2025-06-06 05:18:47,reb62a,2025-06-06 05:18:47
43,44,2025-06-06 05:15:47,reb62a,2025-06-06 05:15:47
43,44,2025-06-06 05:12:47,reb62a,2025-06-06 05:12:47
43,44,2025-06-06 05:09:47,reb62a,2025-06-06 05:09:47
43,44,2025-06-06 05:06:47,reb62a,2025-06-06 05:06:47
43,44,2025-06-06 05:03:47,reb62a,2025-06-06 05:03:47
43,44,2025-06-06 05:00:47,reb62a,2025-06-06 05:00:47
43,44,2025-06-06 04:57:47,reb62a,2025-06-06 04:57:47
43,44,2025-06-06 04:54:47,reb62a,2025-06-06 04:54:47
43,44,2025-06-06 04:51:47,reb62a,2025-06-06 04:51:47
43,44,2025-06-06 04:48:47,reb62a,2025-06-06 04:48:47
43,44,2025-06-06 04:45:47,reb62a,2025-06-06 04:45:47
43,44,2025-06-06 04:42:47,reb62a,2025-06-06 04:42:47
43,44,2025-06-06 04:39:47,reb62a,2025-06-06 04:39:47
43,44,2025-06-06 04:36:47,reb62a,2025-06-06 04:36:47
43,44,2025-06-06 04:33:47,reb62a,2025-06-06 04:33:47
43,44,2025-06-06 04:30:47,reb62a,2025-06-06 04:30:47
43,44,2025-06-06 04:27:47,reb62a,2025-06-06 04:27:47
43,44,2025-06-06 04:24:47,reb62a,2025-06-06 04:24:47
43,44,2025-06-06 04:21:47,reb62a,2025-06-06 04:21:47
43,44,2025-06-06 04:18:47,reb62a,2025-06-06 04:18:47
43,44,2025-06-06 04:15:47,reb62a,2025-06-06 04:15:47
43,44,2025-06-06 04:12:47,reb62a,2025-06-06 04:12:47
43,44,2025-06-06 04:09:47,reb62a,2025-06-06 04:09:47
43,44,2025-06-06 04:06:47,reb62a,2025-06-06 04:06:47
43,44,2025-06-06 04:03:47,reb62a,2025-06-06 04:03:47
43,44,2025-06-06 04:00:47,reb62a,2025-06-06 04:00:47
43,44,2025-06-06 03:57:47,reb62a,2025-06-06 03:57:47
43,44,2025-06-06 03:54:47,reb62a,2025-06-06 03:54:47
43,44,2025-06-06 03:51:47,reb62a,2025-06-06 03:51:47
43,44,2025-06-06 03:48:47,reb62a,2025-06-06 03:48:47
43,44,2025-06-06 03:45:47,reb62a,2025-06-06 03:45:47
43,44,2025-06-06 03:42:47,reb62a,2025-06-06 03:42:47
43,44,2025-06-06 03:39:47,reb62a,2025-06-06 03:39:47
43,44,2025-06-06 03:36:47,reb62a,2025-06-06 03:36:47
43,44,2025-06-06 03:33:47,reb62a,2025-06-06 03:33:47
43,44,2025-06-06 03:30:47,reb62a,2025-06-06 03:30:47
43,44,2025-06-06 03:27:47,reb62a,2025-06-06 03:27:47
43,44,2025-06-06 03:24:47,reb62a,2025-06-06 03:24:47
43,44,2025-06-06 03:21:47,reb62a,2025-06-06 03:21:47
43,44,2025-06-06 03:18:47,reb62a,2025-06-06 03:18:47
43,44,2025-06-06 03:15:47,reb62a,2025-06-06 03:15:47
43,44,2025-06-06 03:12:47,reb62a,2025-06-06 03:12:47
43,44,2025-06-06 03:09:47,reb62a,2025-06-06 03:09:47
43,44,2025-06-06 03:06:47,reb62a,2025-06-06 03:06:47
43,44,2025-06-06 03:03:47,reb62a,2025-06-06 03:03:47
43,44,2025-06-06 03:00:47,reb62a,2025-06-06 03:00:47
43,44,2025-06-06 02:57:47,reb62a,2025-06-06 02:57:47
43,44,2025-06-06 02:54:47,reb62a,2025-06-06 02:54:47
43,44,2025-06-06 02:51:47,reb62a,2025-06-06 02:51:47
43,44,2025-06-06 02:48:47,reb62a,2025-06-06 02:48:47
43,44,2025-06-06 02:45:47,reb62a,2025-06-06 02:45:47
43,44,2025-06-06 02:42:47,reb62a,2025-06-06 02:42:47
43,44,2025-06-06 02:39:47,reb62a,2025-06-06 02:39:47
43,44,2025-06-06 02:36:47,reb62a,2025-06-06 02:36:47
43,44,2025-06-06 02:33:47,reb62a,2025-06-06 02:33:47
43,44,2025-06-06 02:30:47,reb62a,2025-06-06 02:30:47
43,44,2025-06-06 02:27:47,reb62a,2025-06-06 02:27:47
43,44,2025-06-06 02:24:47,reb62a,2025-06-06 02:24:47
43,44,2025-06-06 02:21:47,reb62a,2025-06-06 02:21:47
43,44,2025-06-06 02:18:47,reb62a,2025-06-06 02:18:47
43,44,2025-06-06 02:15:47,reb62a,2025-06-06 02:15:47
43,44,2025-06-06 02:12:47,reb62a,2025-06-06 02:12:47
43,44,2025-06-06 02:09:47,reb62a,2025-06-06 02:09:47
43,44,2025-06-06 02:06:47,reb62a,2025-06-06 02:06:47
43,44,2025-06-06 02:03:47,reb62a,2025-06-06 02:03:47
43,44,2025-06-06 02:00:47,reb62a,2025-06-06 02:00:47
43,44,2025-06-06 01:57:47,reb62a,2025-06-06 01:57:47
43,44,2025-06-06 01:54:47,reb62a,2025-06-06 01:54:47
43,42,2025-06-06 01:51:47,reb62a,2025-06-06 01:51:47
43,42,2025-06-06 01:48:47,reb62a,2025-06-06 01:48:47
43,42,2025-06-06 01:45:47,reb62a,2025-06-06 01:45:47
43,42,2025-06-06 01:42:47,reb62a,2025-06-06 01:42:47
43,42,2025-06-06 01:39:47,reb62a,2025-06-06 01:39:47
43,42,2025-06-06 01:36:47,reb62a,2025-06-06 01:36:47
43,42,2025-06-06 01:33:47,reb62a,2025-06-06 01:33:47
43,42,2025-06-06 01:30:47,reb62a,2025-06-06 01:30:47
43,42,2025-06-06 01:27:47,reb62a,2025-06-06 01:27:47
43,42,2025-06-06 01:24:47,reb62a,2025-06-06 01:24:47
43,42,2025-06-06 01:21:47,reb62a,2025-06-06 01:21:47
43,42,2025-06-06 01:18:47,reb62a,2025-06-06 01:18:47
43,42,2025-06-06 01:15:47,reb62a,2025-06-06 01:15:47
43,42,2025-06-06 01:12:47,reb62a,2025-06-06 01:12:47
43,42,2025-06-06 01:09:47,reb62a,2025-06-06 01:09:47
43,42,2025-06-06 01:06:47,reb62a,2025-06-06 01:06:47
43,42,2025-06-06 01:03:47,reb62a,2025-06-06 01:03:47
43,42,2025-06-06 01:00:47,reb62a,2025-06-06 01:00:47
43,42,2025-06-06 00:57:47,reb62a,2025-06-06 00:57:47
43,42,2025-06-06 00:54:47,reb62a,2025-06-06 00:54:47
43,42,2025-06-06 00:51:47,reb62a,2025-06-06 00:51:47
43,42,2025-06-06 00:48:47,reb62a,2025-06-06 00:48:47
43,42,2025-06-06 00:45:47,reb62a,2025-06-06 00:45:47
43,42,2025-06-06 00:42:47,reb62a,2025-06-06 00:42:47
43,39,2025-06-06 00:39:47,reb62a,2025-06-06 00:39:47
43,39,2025-06-06 00:36:47,reb62a,2025-06-06 00:36:47
43,39,2025-06-06 00:33:47,reb62a,2025-06-06 00:33:47
43,39,2025-06-06 00:30:47,reb62a,2025-06-06 00:30:47
43,39,2025-06-06 00:27:47,reb62a,2025-06-06 00:27:47
43,39,2025-06-06 00:24:47,reb62a,2025-06-06 00:24:47
43,39,2025-06-06 00:21:47,reb62a,2025-06-06 00:21:47
43,39,2025-06-06 00:18:47,reb62a,2025-06-06 00:18:47
43,39,2025-06-06 00:15:47,reb62a,2025-06-06 00:15:47
43,39,2025-06-06 00:12:47,reb62a,2025-06-06 00:12:47
43,39,2025-06-06 00:09:47,reb62a,2025-06-06 00:09:47
43,39,2025-06-06 00:06:47,reb62a,2025-06-06 00:06:47
43,39,2025-06-06 00:03:47,reb62a,2025-06-06 00:03:47
43,39,2025-06-06 00:00:47,reb62a,2025-06-06 00:00:47
43,39,2025-06-05 23:57:47,reb62a,2025-06-05 23:57:47
43,39,2025-06-05 23:54:47,reb62a,2025-06-05 23:54:47
43,39,2025-06-05 23:51:47,reb62a,2025-06-05 23:51:47
43,39,2025-06-05 23:48:47,reb62a,2025-06-05 23:48:47
43,39,2025-06-05 23:45:47,reb62a,2025-06-05 23:45:47
43,39,2025-06-05 23:42:47,reb62a,2025-06-05 23:42:47
43,39,2025-06-05 23:39:47,reb62a,2025-06-05 23:39:47
43,39,2025-06-05 23:36:47,reb62a,2025-06-05 23:36:47
43,39,2025-06-05 23:33:47,reb62a,2025-06-05 23:33:47
43,39,2025-06-05 23:30:47,reb62a,2025-06-05 23:30:47
43,36,2025-06-05 23:27:47,reb62a,2025-06-05 23:27:47
43,36,2025-06-05 23:24:47,reb62a,2025-06-05 23:24:47
43,36,2025-06-05 23:21:47,reb62a,2025-06-05 23:21:47
43,36,2025-06-05 23:18:47,reb62a,2025-06-05 23:18:47
43,36,2025-06-05 23:15:47,reb62a,2025-06-05 23:15:47
43,36,2025-06-05 23:12:47,reb62a,2025-06-05 23:12:47
43,36,2025-06-05 23:09:47,reb62a,2025-06-05 23:09:47
43,36,2025-06-05 23:06:47,reb62a,2025-06-05 23:06:47
43,36,2025-06-05 23:03:47,reb62a,2025-06-05 23:03:47
43,36,2025-06-05 23:00:47,reb62a,2025-06-05 23:00:47
43,36,2025-06-05 22:57:47,reb62a,2025-06-05 22:57:47
43,36,2025-06-05 22:54:47,reb62a,2025-06-05 22:54:47
43,36,2025-06-05 22:51:47,reb62a,2025-06-05 22:51:47
43,36,2025-06-05 22:48:47,reb62a,2025-06-05 22:48:47
43,36,2025-06-05 22:45:47,reb62a,2025-06-05 22:45:47
43,36,2025-06-05 22:42:47,reb62a,2025-06-05 22:42:47
43,36,2025-06-05 22:39:47,reb62a,2025-06-05 22:39:47
43,36,2025-06-05 22:36:47,reb62a,2025-06-05 22:36:47
43,36,2025-06-05 22:33:47,reb62a,2025-06-05 22:33:47
43,36,2025-06-05 22:30:47,reb62a,2025-06-05 22:30:47
43,36,2025-06-05 22:27:47,reb62a,2025-06-05 22:27:47
43,36,2025-06-05 22:24:47,reb62a,2025-06-05 22:24:47
43,36,2025-06-05 22:21:47,reb62a,2025-06-05 22:21:47
43,36,2025-06-05 22:18:47,reb62a,2025-06-05 22:18:47
43,36,2025-06-05 22:15:47,reb62a,2025-06-05 22:15:47
43,36,2025-06-05 22:12:47,reb62a,2025-06-05 22:12:47
43,36,2025-06-05 22:09:47,reb62a,2025-06-05 22:09:47
43,36,2025-06-05 22:06:47,reb62a,2025-06-05 22:06:47
43,36,2025-06-05 22:03:47,reb62a,2025-06-05 22:03:47
43,36,2025-06-05 22:00:47,reb62a,2025-06-05 22:00:47
43,36,2025-06-05 21:57:47,reb62a,2025-06-05 21:57:47
43,36,2025-06-05 21:54:47,reb62a,2025-06-05 21:54:47
43,36,2025-06-05 21:51:47,reb62a,2025-06-05 21:51:47
43,36,2025-06-05 21:48:47,reb62a,2025-06-05 21:48:47
43,36,2025-06-05 21:45:47,reb62a,2025-06-05 21:45:47
43,36,2025-06-05 21:42:47,reb62a,2025-06-05 21:42:47
43,36,2025-06-05 21:39:47,reb62a,2025-06-05 21:39:47
43,36,2025-06-05 21:36:47,reb62a,2025-06-05 21:36:47
43,36,2025-06-05 21:33:47,reb62a,2025-06-05 21:33:47
43,36,2025-06-05 21:30:47,reb62a,2025-06-05 21:30:47
43,36,2025-06-05 21:27:47,reb62a,2025-06-05 21:27:47
43,36,2025-06-05 21:24:47,reb62a,2025-06-05 21:24:47
43,36,2025-06-05 21:21:47,reb62a,2025-06-05 21:21:47
43,36,2025-06-05 21:18:47,reb62a,2025-06-05 21:18:47
43,36,2025-06-05 21:15:47,reb62a,2025-06-05 21:15:47
43,36,2025-06-05 21:12:47,reb62a,2025-06-05 21:12:47
43,36,2025-06-05 21:09:47,reb62a,2025-06-05 21:09:47
43,36,2025-06-05 21:06:47,reb62a,2025-06-05 21:06:47
43,36,2025-06-05 21:03:47,reb62a,2025-06-05 21:03:47
43,36,2025-06-05 21:00:47,reb62a,2025-06-05 21:00:47
43,37,2025-06-05 20:57:47,reb62a,2025-06-05 20:57:47
43,37,2025-06-05 20:54:47,reb62a,2025-06-05 20:54:47
43,37,2025-06-05 20:51:47,reb62a,2025-06-05 20:51:47
43,37,2025-06-05 20:48:47,reb62a,2025-06-05 20:48:47
43,37,2025-06-05 20:45:47,reb62a,2025-06-05 20:45:47
43,37,2025-06-05 20:42:47,reb62a,2025-06-05 20:42:47
43,37,2025-06-05 20:39:47,reb62a,2025-06-05 20:39:47
43,37,2025-06-05 20:36:47,reb62a,2025-06-05 20:36:47
43,37,2025-06-05 20:33:47,reb62a,2025-06-05 20:33:47
43,37,2025-06-05 20:30:47,reb62a,2025-06-05 20:30:47
43,37,2025-06-05 20:27:47,reb62a,2025-06-05 20:27:47
43,37,2025-06-05 20:24:47,reb62a,2025-06-05 20:24:47
43,37,2025-06-05 20:21:47,reb62a,2025-06-05 20:21:47
43,37,2025-06-05 20:18:47,reb62a,2025-06-05 20:18:47
43,37,2025-06-05 20:15:47,reb62a,2025-06-05 20:15:47
43,37,2025-06-05 20:12:47,reb62a,2025-06-05 20:12:47
43,37,2025-06-05 20:09:47,reb62a,2025-06-05 20:09:47
43,37,2025-06-05 20:06:47,reb62a,2025-06-05 20:06:47
43,37,2025-06-05 20:03:47,reb62a,2025-06-05 20:03:47
43,37,2025-06-05 20:00:47,reb62a,2025-06-05 20:00:47
43,37,2025-06-05 19:57:47,reb62a,2025-06-05 19:57:47
43,37,2025-06-05 19:54:47,reb62a,2025-06-05 19:54:47
43,37,2025-06-05 19:51:47,reb62a,2025-06-05 19:51:47
43,37,2025-06-05 19:48:47,reb62a,2025-06-05 19:48:47
43,38,2025-06-05 19:45:47,reb62a,2025-06-05 19:45:47
43,38,2025-06-05 19:42:47,reb62a,2025-06-05 19:42:47
43,38,2025-06-05 19:39:47,reb62a,2025-06-05 19:39:47
43,38,2025-06-05 19:36:47,reb62a,2025-06-05 19:36:47
43,38,2025-06-05 19:33:47,reb62a,2025-06-05 19:33:47
43,38,2025-06-05 19:30:47,reb62a,2025-06-05 19:30:47
43,38,2025-06-05 19:27:47,reb62a,2025-06-05 19:27:47
43,38,2025-06-05 19:24:47,reb62a,2025-06-05 19:24:47
43,38,2025-06-05 19:21:47,reb62a,2025-06-05 19:21:47
43,38,2025-06-05 19:18:47,reb62a,2025-06-05 19:18:47
43,38,2025-06-05 19:15:47,reb62a,2025-06-05 19:15:47
43,38,2025-06-05 19:12:47,reb62a,2025-06-05 19:12:47
43,38,2025-06-05 19:09:47,reb62a,2025-06-05 19:09:47
43,38,2025-06-05 19:06:47,reb62a,2025-06-05 19:06:47
43,38,2025-06-05 19:03:47,reb62a,2025-06-05 19:03:47
43,38,2025-06-05 19:00:47,reb62a,2025-06-05 19:00:47
43,38,2025-06-05 18:57:47,reb62a,2025-06-05 18:57:47
43,38,2025-06-05 18:54:47,reb62a,2025-06-05 18:54:47
43,38,2025-06-05 18:51:47,reb62a,2025-06-05 18:51:47
43,38,2025-06-05 18:48:47,reb62a,2025-06-05 18:48:47
43,38,2025-06-05 18:45:47,reb62a,2025-06-05 18:45:47
43,38,2025-06-05 18:42:47,reb62a,2025-06-05 18:42:47
43,38,2025-06-05 18:39:47,reb62a,2025-06-05 18:39:47
43,38,2025-06-05 18:36:47,reb62a,2025-06-05 18:36:47
43,38,2025-06-05 18:33:47,reb62a,2025-06-05 18:33:47
43,38,2025-06-05 18:30:47,reb62a,2025-06-05 18:30:47
43,38,2025-06-05 18:27:47,reb62a,2025-06-05 18:27:47
43,38,2025-06-05 18:24:47,reb62a,2025-06-05 18:24:47
43,38,2025-06-05 18:21:47,reb62a,2025-06-05 18:21:47
43,38,2025-06-05 18:18:47,reb62a,2025-06-05 18:18:47
43,38,2025-06-05 18:15:47,reb62a,2025-06-05 18:15:47
43,38,2025-06-05 18:12:47,reb62a,2025-06-05 18:12:47
43,38,2025-06-05 18:09:47,reb62a,2025-06-05 18:09:47
43,38,2025-06-05 18:06:47,reb62a,2025-06-05 18:06:47
43,38,2025-06-05 18:03:47,reb62a,2025-06-05 18:03:47
43,38,2025-06-05 18:00:47,reb62a,2025-06-05 18:00:47
43,38,2025-06-05 17:57:47,reb62a,2025-06-05 17:57:47
43,38,2025-06-05 17:54:47,reb62a,2025-06-05 17:54:47
43,38,2025-06-05 17:51:47,reb62a,2025-06-05 17:51:47
43,38,2025-06-05 17:48:47,reb62a,2025-06-05 17:48:47
43,38,2025-06-05 17:45:47,reb62a,2025-06-05 17:45:47
43,38,2025-06-05 17:42:47,reb62a,2025-06-05 17:42:47
43,38,2025-06-05 17:39:47,reb62a,2025-06-05 17:39:47
43,38,2025-06-05 17:36:47,reb62a,2025-06-05 17:36:47
43,38,2025-06-05 17:33:47,reb62a,2025-06-05 17:33:47
43,38,2025-06-05 17:30:47,reb62a,2025-06-05 17:30:47
43,38,2025-06-05 17:27:47,reb62a,2025-06-05 17:27:47
43,38,2025-06-05 17:24:47,reb62a,2025-06-05 17:24:47
43,38,2025-06-05 17:21:47,reb62a,2025-06-05 17:21:47
43,38,2025-06-05 17:18:47,reb62a,2025-06-05 17:18:47
43,38,2025-06-05 17:15:47,reb62a,2025-06-05 17:15:47
43,38,2025-06-05 17:12:47,reb62a,2025-06-05 17:12:47
43,38,2025-06-05 17:09:47,reb62a,2025-06-05 17:09:47
43,38,2025-06-05 17:06:47,reb62a,2025-06-05 17:06:47
43,38,2025-06-05 17:03:47,reb62a,2025-06-05 17:03:47
43,38,2025-06-05 17:00:47,reb62a,2025-06-05 17:00:47
43,38,2025-06-05 16:57:47,reb62a,2025-06-05 16:57:47
43,39,2025-06-05 16:54:47,reb62a,2025-06-05 16:54:47
43,39,2025-06-05 16:51:47,reb62a,2025-06-05 16:51:47
43,39,2025-06-05 16:48:47,reb62a,2025-06-05 16:48:47
43,39,2025-06-05 16:45:47,reb62a,2025-06-05 16:45:47
43,39,2025-06-05 16:42:47,reb62a,2025-06-05 16:42:47
43,39,2025-06-05 16:39:47,reb62a,2025-06-05 16:39:47
43,39,2025-06-05 16:36:47,reb62a,2025-06-05 16:36:47
43,39,2025-06-05 16:33:47,reb62a,2025-06-05 16:33:47
43,39,2025-06-05 16:30:47,reb62a,2025-06-05 16:30:47
43,39,2025-06-05 16:27:47,reb62a,2025-06-05 16:27:47
43,39,2025-06-05 16:24:47,reb62a,2025-06-05 16:24:47
43,39,2025-06-05 16:21:47,reb62a,2025-06-05 16:21:47
43,39,2025-06-05 16:18:47,reb62a,2025-06-05 16:18:47
43,39,2025-06-05 16:15:47,reb62a,2025-06-05 16:15:47
43,39,2025-06-05 16:12:47,reb62a,2025-06-05 16:12:47
43,39,2025-06-05 16:09:47,reb62a,2025-06-05 16:09:47
43,39,2025-06-05 16:06:47,reb62a,2025-06-05 16:06:47
43,39,2025-06-05 16:03:47,reb62a,2025-06-05 16:03:47
43,39,2025-06-05 16:00:47,reb62a,2025-06-05 16:00:47
43,39,2025-06-05 15:57:47,reb62a,2025-06-05 15:57:47
43,39,2025-06-05 15:54:47,reb62a,2025-06-05 15:54:47
43,39,2025-06-05 15:51:47,reb62a,2025-06-05 15:51:47
43,39,2025-06-05 15:48:47,reb62a,2025-06-05 15:48:47
43,39,2025-06-05 15:45:47,reb62a,2025-06-05 15:45:47
43,39,2025-06-05 15:42:47,reb62a,2025-06-05 15:42:47
43,39,2025-06-05 15:39:47,reb62a,2025-06-05 15:39:47
43,39,2025-06-05 15:36:47,reb62a,2025-06-05 15:36:47
43,39,2025-06-05 15:33:47,reb62a,2025-06-05 15:33:47
43,39,2025-06-05 15:30:47,reb62a,2025-06-05 15:30:47
43,39,2025-06-05 15:27:47,reb62a,2025-06-05 15:27:47
43,39,2025-06-05 15:24:47,reb62a,2025-06-05 15:24:47
43,39,2025-06-05 15:21:47,reb62a,2025-06-05 15:21:47
43,39,2025-06-05 15:18:47,reb62a,2025-06-05 15:18:47
43,39,2025-06-05 15:15:47,reb62a,2025-06-05 15:15:47
43,39,2025-06-05 15:12:47,reb62a,2025-06-05 15:12:47
43,39,2025-06-05 15:09:47,reb62a,2025-06-05 15:09:47
43,39,2025-06-05 15:06:47,reb62a,2025-06-05 15:06:47
43,39,2025-06-05 15:03:47,reb62a,2025-06-05 15:03:47
43,39,2025-06-05 15:00:47,reb62a,2025-06-05 15:00:47
43,39,2025-06-05 14:57:47,reb62a,2025-06-05 14:57:47
43,39,2025-06-05 14:54:47,reb62a,2025-06-05 14:54:47
43,39,2025-06-05 14:51:47,reb62a,2025-06-05 14:51:47
43,39,2025-06-05 14:48:47,reb62a,2025-06-05 14:48:47
43,39,2025-06-05 14:45:47,reb62a,2025-06-05 14:45:47
43,39,2025-06-05 14:42:47,reb62a,2025-06-05 14:42:47
43,39,2025-06-05 14:39:47,reb62a,2025-06-05 14:39:47
43,39,2025-06-05 14:36:47,reb62a,2025-06-05 14:36:47
43,39,2025-06-05 14:33:47,reb62a,2025-06-05 14:33:47
43,39,2025-06-05 14:30:47,reb62a,2025-06-05 14:30:47
43,39,2025-06-05 14:27:47,reb62a,2025-06-05 14:27:47
